pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,yards_per_carry,rush_td_rate,reception_rate,yards_from_scrimmage,rush_yards_flag,rec_yards_flag,_split,weighted_av_pred,surplus_value,surplus_value_percentile,pro_bowl_probability,peak_value_percentile,availability_factor,sleeper_score
GuerIs00,isaac-guerendo-1,00-0039363,Isaac Guerendo,RB,2024,4,129,SFO,louisville,72.0,221.0,4.33,41.5,129.0,,6.94,4.15,,,,,,232.0,1397.0,17.0,42.0,358.0,1.0,4.0,4.0,30.0,0,0,0,False,skill_run,False,True,False,False,26.16,0,0,True,125.73919741084094,85.25,5.545,29.96971450617284,0.601181341934206,0.061279292225592,-1.6729428553733694,2.164362882743017,1.7281616180856785,,-0.5866985412605233,-0.7206978806276152,2.3906409447844403,2.0751700851731187,-0.7003268278714297,-0.4052616365896656,6.021551724137931,0.0732758620689655,0.1810344827586207,1755.0,False,False,holdout,12.63023,0.8982849,0.6227758007117438,0.20286416,0.5747330960854092,0.19734734,44.40992421102693
TracTy00,tyrone-tracy-jr-1,00-0039384,Tyrone Tracy Jr.,RB,2024,5,166,NYG,purdue,71.0,209.0,4.48,40.0,124.0,,6.81,4.06,,,,,,146.0,942.0,10.0,107.0,1168.0,5.0,14.0,14.0,32.0,0,0,1,False,skill_run,False,True,False,False,13.71,0,1,True,103.76818623953882,82.0,5.435,29.146399523903987,0.0522152808722206,-0.618178513259113,-0.5643896961512981,1.700881203636772,0.9061029760479624,,-1.108304024523845,-1.2763945694819412,0.1450775350660278,1.3070655163227654,-1.286669098980914,-0.8428812626480902,6.452054794520548,0.0684931506849315,0.7328767123287672,2110.0,False,False,holdout,10.061793,2.5808735,0.7241992882562278,0.1828868,0.47686832740213525,0.15721552,45.30738437727253
CoruBl00,blake-corum-1,00-0039738,Blake Corum,RB,2024,3,83,LAR,michigan,68.0,205.0,4.53,35.5,,27.0,6.82,4.12,,,,,,675.0,3734.0,58.0,56.0,411.0,3.0,8.0,8.0,34.0,0,0,0,False,skill_run,False,True,False,False,47.2,0,0,True,97.3623502040736,,5.470000000000001,31.16673875432526,-1.5946829023137354,-0.8446644484206813,-0.1948719764106098,0.3104361663180377,,1.3202613734738142,-1.068180525811279,-0.905930110245724,-0.5096356639643951,,-1.1001056490824368,0.2309970434306504,5.531851851851852,0.0859259259259259,0.0829629629629629,4145.0,False,False,holdout,24.626877,5.44018,0.8238434163701067,0.31676987,0.802491103202847,0.38479495,63.0348556873213
DillAJ00,aj-dillon-1,00-0036265,AJ Dillon,RB,2020,2,62,GNB,boston col.,72.0,247.0,4.53,41.0,131.0,23.0,7.19,,,,,,,845.0,4382.0,38.0,21.0,236.0,2.0,24.0,23.0,67.0,0,0,0,False,skill_run,False,True,False,False,58.86,0,0,True,117.30975853856673,86.0,,33.49556327160494,0.601181341934206,1.5334378707757863,-0.1948719764106098,2.009868989707602,2.0569850749007648,0.5149955712131901,0.4163889265535508,,1.5291039245511004,2.252424985677046,,1.4688456631644122,5.185798816568047,0.0449704142011834,0.0248520710059171,4618.0,False,False,holdout,29.081675,1.1728134,0.6352313167259787,0.36681238,0.8505338078291815,0.45440117,58.844200289970615
EstiAu00,audric-estime-1,00-0039373,Audric Estime,RB,2024,5,147,DEN,notre dame,71.0,221.0,4.71,38.0,125.0,23.0,,,,,,,,373.0,2321.0,29.0,26.0,277.0,1.0,4.0,2.0,20.0,0,0,0,False,skill_run,False,True,False,False,19.6,0,1,True,89.81288368998997,81.5,,30.819877008530053,0.0522152808722206,0.061279292225592,1.1353918146558706,1.0829056314951124,1.0705147044555057,0.5149955712131901,,,-1.2812344599753789,1.1888955826534802,,0.0466283500897796,6.222520107238606,0.0777479892761394,0.0697050938337801,2598.0,False,False,holdout,2.867739,-4.613181,0.1423487544483986,0.13509832,0.030249110320284697,0.04480842,9.897067255913894
ConnSn00,snoop-conner-1,00-0037265,Snoop Conner,RB,2022,5,154,JAX,mississippi,70.0,222.0,4.59,29.5,118.0,25.0,,,,,,,,304.0,1580.0,26.0,32.0,225.0,0.0,0.0,0.0,8.0,0,0,0,False,skill_run,False,True,False,False,17.31,0,1,True,100.030451249693,73.75,,31.85020408163265,-0.4967507801897647,0.1179007760159841,0.2485492872782147,-1.5434905501069414,-0.0803673943972969,0.917628472343502,,,-0.2369404277387563,-0.6427383892204392,,0.5942818705036644,5.197368421052632,0.0855263157894736,0.1052631578947368,1805.0,False,False,holdout,7.5208316,0.039911747,0.5249110320284698,0.16465966,0.3683274021352313,0.117512986,34.00644258658975
PierDa01,dameon-pierce-1,00-0037258,Dameon Pierce,RB,2022,4,107,HOU,florida,70.0,218.0,4.59,34.5,119.0,21.0,,,,,,,,326.0,1804.0,23.0,45.0,422.0,5.0,12.0,12.0,43.0,0,0,1,False,skill_run,False,True,False,False,35.45,0,0,True,98.22810077672555,76.75,,31.276326530612245,-0.4967507801897647,-0.1085851591455841,0.2485492872782147,0.0014483802472078,0.0840443340102462,0.1123626700828779,,,-0.4211509878276259,0.0662812127952715,,0.2892466352783847,5.533742331288344,0.0705521472392638,0.1380368098159509,2226.0,False,False,holdout,10.6124735,-1.1194715,0.3807829181494662,0.18703741,0.49466192170818507,0.1658199,32.18170151565211
GibsAn00,antonio-gibson-2,00-0036328,Antonio Gibson,RB,2020,3,66,WAS,memphis,72.0,228.0,4.39,35.0,118.0,16.0,,,,,,,,33.0,369.0,4.0,44.0,834.0,10.0,29.0,23.0,83.0,0,0,2,False,skill_run,False,True,False,False,56.54,0,0,True,122.77410070451558,76.5,,30.91898148148148,0.601181341934206,0.4576296787583367,-1.2295215916845448,0.1559422732826228,-0.0803673943972969,-0.8942195827429021,,,2.0875910478958657,0.0071962459606289,,0.0993057133441249,11.181818181818182,0.1212121212121212,1.3333333333333333,1203.0,False,False,holdout,21.993305,2.8066082,0.7402135231316725,0.2889817,0.7704626334519573,0.3436454,57.67033566386037
LloyMa00,marshawn-lloyd-1,00-0039811,MarShawn Lloyd,RB,2024,3,88,GNB,southern california,69.0,220.0,4.46,36.0,118.0,25.0,,,,,,,,291.0,1620.0,19.0,34.0,452.0,2.0,0.0,0.0,1.0,0,0,0,False,skill_run,False,True,False,False,44.61,0,0,True,111.20216474658048,77.0,,32.48477210670028,-1.04571684125175,0.0046578084351999,-0.7121967840475774,0.4649300593534526,-0.0803673943972969,0.917628472343502,,,0.9048727940958158,0.125366179629914,,0.931576135541154,5.56701030927835,0.0652920962199312,0.1168384879725085,2072.0,False,False,holdout,19.039452,-0.1472454,0.4697508896797153,0.2596041,0.7348754448398577,0.29749143,44.6294552604817
MossZa00,zack-moss-1,00-0036251,Zack Moss,RB,2020,3,86,BUF,utah,69.0,223.0,4.65,33.0,,19.0,,4.37,,,,,,712.0,4063.0,38.0,66.0,685.0,3.0,18.0,8.0,61.0,0,0,1,False,skill_run,False,True,False,False,45.64,0,0,True,95.39443654459264,,,32.92774627179164,-1.04571684125175,0.1745222598063762,0.6919705509670458,-0.4620332988590369,,-0.2902702310474341,,0.6376718032385021,-0.7107677317040701,,,1.1670318149053407,5.706460674157303,0.0533707865168539,0.0926966292134831,4748.0,False,False,holdout,25.020723,5.8340263,0.8416370106761566,0.32104713,0.806049822064057,0.3909488,64.02639530890778
