pfr_id,cfb_id,gsis_id,player_name,position,draft_year,projected_draft_pick,normalized_projected_draft_pick,projected_contract_value,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,_raw_height,Hand Size,Arm Length,Wingspan,10 Yard Split,10 Yard Split.1,_raw_broad,10 Yard Split.2,10 Yard Split.3,position_group,missing_outcome,missing_combine,low_confidence_mock,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,is_QB,is_WR,is_TE,dominator_rating,yards_per_reception,rec_td_rate,rec_yards_flag,completion_pct,yards_per_attempt,td_int_ratio,pass_yards_flag,weighted_av_pred,av_tier,performance_value_usd,contract_cost_usd,contract_surplus_usd,contract_surplus_percentile,upside_percentile,round_value_percentile,sleeper_score,draft_window_label
,,,Eli Stowers,TE,2026,50.5,49,10300000.0,2,50,,vanderbilt,76.0,239,4.51,45.5,135.0,,,,5.0,10.0,116.0,2.0,0.0,37.0,114.0,2.0,145.0,1769.0,11.0,,,,,,,,,,,,,,,,,,,,,6040,968,3258,7968.0,1.59,,1103,1.59,,skill_pass,True,False,False,66.09,0,0,True,115.53717093006233,90.25,,29.088815789473685,0.7677734733284143,0.7584260743778104,-0.5303068816337965,3.099092047855867,2.3566494177385695,,,,1.4553837247993875,2.776055185890141,,0.48813011758197794,0,0,1,0.9394583112055231,12.2,0.07586206896551724,False,,,,False,26.911228,elite,24096000.0,2575000.0,21521000.0,0.85,0.9,0.855072463768116,86.60144927536233,Round 2 value — monitor board
,,,Germie Bernard,WR,2026,57.5,58,8700000.0,2,58,,alabama,73.25,206,4.48,32.5,125.0,,6.71,4.31,3.0,3.0,29.0,0.0,0.0,36.0,184.0,5.0,155.0,2203.0,13.0,,,,,,,,,,,,,,,,,,,,,6012,978,3038,7418.0,1.52,,1005,1.52,,skill_pass,True,False,False,61.22,0,0,True,102.27869074327751,78.75,5.51,26.99027361996063,-0.3265173356364907,-0.5457160282632183,-0.6843876599853594,-0.5141151770838972,0.9790672946346043,,-1.3733465226396986,0.33064921513008394,0.38347673468620824,0.5099581441853538,-0.7467325798083198,-0.5334903267739014,0,1,0,0.9229157938835358,14.212903225806452,0.08387096774193549,False,,,,False,30.919504,elite,30120000.0,2175000.0,27945000.0,0.9210526315789473,0.9210526315789473,0.9420289855072463,92.52479023646072,Round 2 value — monitor board
,,,Chris Bell,WR,2026,63.5,61,7500000.0,2,64,,louisville,73.875,222,,,,,,,,,,,,2.0,43.0,0.0,151.0,2166.0,12.0,,,,,,,,,,,,,,,,,,,,,6017,1000,3168,7668.0,,,,,,skill_pass,True,True,False,57.69,0,0,True,,,,28.59652829670094,-0.07781487905355776,0.08659529422940168,,,,,,,,,,0.24847280955941178,0,1,0,0.9805341783612495,14.344370860927153,0.07947019867549669,False,,,,True,21.191399,good,18072000.0,1875000.0,16197000.0,0.5526315789473685,0.34210526315789475,0.5072463768115942,48.03966437833715,No strong signal at current ADP
,,,Chris Brazzell II,WR,2026,63.8,62,7440000.0,2,64,,tennessee,76.0,198,4.37,,,,,,,,,,,,,,136.0,2072.0,16.0,,,,,,,,,,,,,,,,,,,,,6040,900,3238,8018.0,1.52,,,1.52,,skill_pass,True,False,False,57.69,0,0,True,108.58490057955026,,,24.098684210526315,0.7677734733284143,-0.8618716895095283,-1.2493505139411039,,,,,,0.8933142356208061,,,-1.941185106644113,0,1,0,1.0,15.235294117647058,0.11764705882352941,False,,,,True,19.519527,good,18072000.0,1860000.0,16212000.0,0.5789473684210527,0.21052631578947367,0.2898550724637681,41.06025934401221,No strong signal at current ADP
,,,Malachi Fields,WR,2026,66.0,66,7330000.0,3,66,,notre dame,76.5,218,4.61,38.0,124.0,,6.98,4.35,2.0,3.0,51.0,0.0,0.0,1.0,-6.0,0.0,165.0,2479.0,16.0,,,,,,,,,,,,,,,,,,,,,6044,900,3218,7900.0,1.63,,1004,1.63,,skill_pass,True,False,False,56.54,0,0,True,96.5345525048505,81.0,5.665,26.18719295997266,0.9667354385947606,-0.07148253639375331,-0.01670428712857299,1.0145494180829262,0.8413090823242078,,-0.20444814564099564,0.5766702053231413,-0.08091902132837561,0.9533249566928121,0.1337807720290732,-0.9244491707893625,0,1,0,1.0,15.024242424242424,0.09696969696969697,False,,,,False,27.167437,elite,30120000.0,1832500.0,28287500.0,0.9473684210526315,0.9736842105263158,0.9710144927536232,95.99923722349352,High-value sleeper — target in round 3
,,,Antonio Williams,WR,2026,67.3,67,7288000.0,3,67,,clemson,71.5,187,4.41,39.5,124.0,10.0,7.0,,4.0,4.0,143.0,2.0,0.0,26.0,193.0,2.0,205.0,2312.0,21.0,,,,,,,,,,,,,,,,,,,,,5114,928,3068,7600.0,1.55,,1004,1.55,,skill_pass,True,False,False,55.96,0,0,True,98.8820005463785,81.75,,25.714900484131253,-1.022884214068703,-1.2965857237232046,-1.0439094761390153,1.4314579440375144,0.8413090823242078,-1.481136605212346,-0.11786308067813075,,0.10886487012770513,1.1011138941952983,,-1.1543724270596885,0,1,0,0.9229540918163672,11.278048780487804,0.1024390243902439,False,,,,False,25.25494,elite,30120000.0,1822000.0,28298000.0,0.9736842105263158,0.8947368421052632,0.9565217391304348,94.65675057208239,High-value sleeper — target in round 3
,,,Max Klare,TE,2026,68.0,69,7260000.0,3,68,,ohio state,76.0,246,,,,,,,,,,,,,,,116.0,1329.0,6.0,,,,,,,,,,,,,,,,,,,,,6040,918,3218,7778.0,,,,,,skill_pass,True,True,False,55.39,0,0,True,,,,29.94078947368421,0.7677734733284143,1.0350622779683316,,,,,,,,,,0.9028912534254556,0,0,1,1.0,11.456896551724139,0.05172413793103448,False,,,,True,18.793365,elite,24096000.0,1815000.0,22281000.0,0.9,0.8,0.8405797101449275,85.81159420289855,High-value sleeper — target in round 3
,,,Garrett Nussmeier,QB,2026,76.0,74,7000000.0,3,76,,louisiana state,73.625,203,,,,,,,659.0,1031.0,7687.0,52.0,24.0,72.0,-154.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,6015,918,3038,7528.0,,,,,,skill_pass,True,True,False,50.94,0,0,True,,,,26.326962046114247,-0.17729586168673095,-0.6642744012305846,,,,,,,,,,-0.8564062417667273,1,0,0,,,,True,0.6391852570320078,7.455868089233753,2.1666666666666665,False,13.475585,good,30120000.0,1750000.0,28370000.0,0.6363636363636364,0.2727272727272727,0.5507246376811594,51.01449275362319,On the board — situational value
,,,Carson Beck,QB,2026,77.5,75,6945000.0,3,78,,miami,76.75,233,,,,,,,966.0,1391.0,11725.0,88.0,32.0,189.0,288.0,7.0,1.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,6046,1000,3058,7500.0,,,,,,skill_pass,True,True,False,49.86,0,0,True,,,,27.807021825165254,1.066216421227934,0.5213093284430779,,,,,,,,,,-0.1358777953461287,1,0,0,,,,False,0.6944644140905823,8.429187634795111,2.75,False,13.309262,average,15060000.0,1736250.0,13323750.0,0.36363636363636365,0.18181818181818182,0.463768115942029,32.91172595520422,No strong signal at current ADP
,,,Brenen Thompson,WR,2026,86.2,78,6654000.0,3,86,,mississippi state,69.0,164,4.26,,,,,,0.0,1.0,0.0,0.0,0.0,4.0,14.0,1.0,84.0,1557.0,10.0,,,,,,,,,,,,,,,,,,,,,5090,900,2938,,1.54,,,1.54,,skill_pass,True,False,False,45.64,0,0,True,99.5945210208984,,,24.21592102499475,-2.0176940404004347,-2.205533249806346,-1.8143133678968484,,,,,,0.16646993997559706,,,-1.8841114255753637,0,1,0,0.9910884786760026,18.535714285714285,0.11904761904761904,False,,,,False,21.230152,elite,30120000.0,1663500.0,28456500.0,1.0,0.8157894736842105,0.8985507246376812,92.44469870327994,High-value sleeper — target in round 3
